"id";"cesky";"anglicky";"nemecky";"kategorie"
5395;sushi;sushi;das Sushi;Podstatné jméno
5396;sladkost;a sweetness;die Süße;Podstatné jméno
5397;symbol, symbolu;a symbol;das Symbol;Podstatné jméno
5398;symetrické, souměrný, symetrický, symetricky, symetrická, symetrickou;symmetrical;symmetrisch;Přídavné jméno
5399;sympatickým, sympatickí, sympatická, sympatičtí, sympatický, sympaticky, přívětivému, sympatického, sympatickou, milých;sympathetic;sympathisch;Přídavné jméno
5400;znak, příznak, příznaků, symptom, příznakem;a symptom;das Symptom;Podstatné jméno
5401;synagoga, synagogu, synagoze, Synagoga;a synagogue;die Synagoge;Podstatné jméno
5402;syntetické, syntetický, umělý, syntetická;synthetic;synthetisch;Přídavné jméno
5403;systém, Systém, systému, Systémem;a system;das System;Podstatné jméno
5404;důslední, systematická, systematicky, strukturovaně, systematické, důsledně, disciplinovaně, důsledná, pravidelný;consequent;konsequent;Přídavné jméno
5405;scéna, scény, scéně, výjevy, scénu, Scéna, záběry;a scene;die Szene;Podstatné jméno
5406;tričko;a T-shirt;das T-Shirt;Podstatné jméno
5407;tabulky, tabulce, tabulku;a table;die Tabelle;Podstatné jméno
5408;tableta, tabletu, tabletem;a tablet;die Tablette;Podstatné jméno
5409;tableta, tabletu, tabletem;a tablet;die Tablette;Podstatné jméno
5410;tabletu;a tablet;die Tablette;Podstatné jméno
5411;tabu, zákaz;prohibition;Verbot;Fráze
5412;taco;a taco;das Taco;Podstatné jméno
5413;tabule;a blackboard;die Tafel;Podstatné jméno
5414;štítek;a sticker;der Aufkleber;Podstatné jméno
5415;dny, dní, dnů;days;die Tage;Podstatné jméno
5416;dny, dní;days;die Tage;Podstatné jméno
5417;deník;a diary;der Tagebuch;Podstatné jméno
5418;režim;a regime;der Regime;Podstatné jméno
5419;jízdenku, jízdenka;a ticket;die Fahrkarte;Podstatné jméno
5420;během dne;during the day;während des Tages;Fráze
5421;postup, přístup, metoda, taktika, strategie, taktiky;a method;die Methode;Podstatné jméno
5422;plánovaný, taktické, takticky, taktický, strategický, taktickém, taktickému;tactical;taktisch;Přídavné jméno
5423;talentovaný, talentovaná;talented;talentiert;Přídavné jméno
5424;talentová soutěž;a talent show;die Talentshow;Podstatné jméno
5425;tandemovým, tandemového, tandemovému, tandemový, partner na tandem, jazykový partner, tandemový partner, tandemoví;a tandem partner;der Tandem Partner;Podstatné jméno
5426;natankovat, doplnit palivo, tankovat, tankuje;to refuel;tanken [getankt, tankte];Sloveso
5427;čerpací stanice, čerpací, stanice;a gas station;die Tankstelle;Podstatné jméno
5428;tetě, teta, tetou, tety, tetu;an aunt;die Tante;Podstatné jméno
5429;tanec, tance;a dance;der Tanz;Podstatné jméno
5430;tance, Tance;a dance;der Tanz;Podstatné jméno
5431;tanečník, tanečníka, tanečníků;a dancer;der Tänzer;Podstatné jméno
5432;ploše, tanečním parketu, taneční parket, tanečnímu parketu, plocha, plochu, tanečním, tanečního;a dance floor;die Tanzfläche;Podstatné jméno
5433;tance, taneční kurz, tanečního;a dance;der Tanz;Podstatné jméno
5434;tašku, taška;a bag;die Tasche;Podstatné jméno
5435;tašku, tašce, pouzdro, kapsy, taškou, kapse, taška, vak;a bag;die Tasche;Podstatné jméno
5436;baterky, baterku, Baterka, svítilna;a flashlight;die Taschenlampe;Podstatné jméno
5437;kapesní nůž, zavírací nůž;a pocket knife;das Taschenmesser;Podstatné jméno
5438;ubrousek, Kapesník, ubrousků, kapesník, ubrousky;a handkerchief;das Taschentuch;Podstatné jméno
5439;šálku, šálek, hrnek, šálka, šálkem, kelímek, kelímku;a cup;der Becher;Podstatné jméno
5440;klávesa, tlačítko, chuť;a key;die Taste;Podstatné jméno
5441;útočníků, pachatel, pachatelů, pachatelé, pachateli, Pachatel, pachatele, útočníci;a perpetrator;der Täter;Podstatné jméno
5442;provést, realizovat, vykonat, uskutečnit, podniknout, uskutečnila;to carry out;durchführen [durchgeführt (hat/ist), führte];Sloveso
5443;místo činu, místo zločinu, místo události;a crime scene;der Tatort;Podstatné jméno
5444;skutečnost, okolnosti, faktům;a fact;die Tatsache;Podstatné jméno
5445;skutečně;really;wirklich;Příslovce
5446;vražedná zbraň, zbraň použitá při trestném činu, nástroj zločinu;a murder weapon;die Waffe;Podstatné jméno
5447;potápění, potápěl, potápět, potápět se, namáčí;to dive [dove, dived];tauchen [getaucht, tauchte];Sloveso
5448;výměnného, výměnném;exchangeable;austauschbar;Přídavné jméno
5449;Vyměňují, vyměňujete, měníme, vyměňovat, měním, měňte, vyměňte;to exchange [exchanged, exchanged];tauschen [getauscht (ist), tauschte];Sloveso
5450;taxi;a taxi;das Taxi;Podstatné jméno
5451;taxikář, taxikáře, Taxikář;a taxi driver;der Taxifahrer;Podstatné jméno
5452;taxikář, taxikáře, Taxikář;a taxi driver;der Taxifahrer;Podstatné jméno
5453;tým, týmu, Tým, týmem;a team;der Team;Podstatné jméno
5454;týmové, týmová, týmová práce, týmovou;teamwork;teambezogen;Přídavné jméno
5455;týmový, schopný pracovat v týmu, týmově orientovaný, spolupracující, schopný spolupráce;team-oriented;teamfähig;Přídavné jméno
5456;schopnost pracovat v týmu, týmová spolupráce, schopnost týmové práce, spolupráce v týmu;teamwork;die Teamfähigkeit;Podstatné jméno
5457;člen týmu;a team member;ein Teammitglied;Podstatné jméno
5458;týmová práce, spolupráce, týmová spolupráce;teamwork;die Teamarbeit;Fráze
5459;technikou, technika, technice, techniku, techniky, metodami;technology;die Technik;Podstatné jméno
5460;technici, technik, techniků, technika;a technician;der Techniker;Podstatné jméno
5461;techno, technomuzika, technostyl;techno;die Techno;Podstatné jméno
5462;technologii, technologie, technika, Technologie, technice;technology;die Technologie;Podstatné jméno
5463;medvídkovi, medvídek, medvídka;a teddy bear;das Bärenchen;Podstatné jméno
5464;čaje, čaj, čaji;tea;der Tee;Podstatné jméno
5465;lžičku, lžičkou, lžička;a spoon;ein Löffel;Podstatné jméno
5466;rybník, rybníka, rybníku;a pond;der Teich;Podstatné jméno
5467;těsto, těsta, těstu;dough;das Teig;Podstatné jméno
5468;Sdílejí;to share [shared, shared];teilen [geteilt (ist), teilte];Sloveso
5469;docházce, docházkou, docházka, účast, nárok;attendance;die Teilnahme;Podstatné jméno
5470;zúčastnili, účastním, účastnil, nezúčastní, účastnit, účastnili;to participate;teilnehmen [teilgenommen];Sloveso
5471;uchazeč, účastníkem, účastníků, účinkující, hostech, účastník, účastníky, účastníci, spoluúčinkující;a participant;der Teilnehmer;Podstatné jméno
5472;částečně;partially;teilweise;Příslovce
5473;částečného, částečný, práce na částečný úvazek, částečný úvazek, zkrácený pracovní úvazek, práce na zkrácený úvazek, částečném;partial;teilzeit;Přídavné jméno
5474;telefon;a phone;das Telefon;Podstatné jméno
5475;Telefonát, telefonát, telefonátu;a phone call;der Anruf;Podstatné jméno
5476;netelefonují, telefonujeme, telefonujete, telefonovat;to telephone [telephoned, telephoned];telefonieren [telefoniert (hat), telefonierte];Sloveso
5477;telefonicky;telephonically;telefonisch;Příslovce
5478;telefonní číslo, telefonní;a phone number;die Telefonnummer;Podstatné jméno
5479;teleskopem, teleskop, dalekohled, dalekohledem;a telescope;das Teleskop;Podstatné jméno
5480;talíře, talíř, talíři, talířů, talířům;a plate;der Teller;Podstatné jméno
5481;pokladníci, pokladníka, pokladník, pokladníky;a cashier;der Kassenwart;Podstatné jméno
5482;chrámu, chrámů, chrámy, chrám;a temple;der Tempel;Podstatné jméno
5483;rychlostní limit;a speed limit;die Geschwindigkeitsbegrenzung;Podstatné jméno
5484;tenis;a tennis;der Tennis;Podstatné jméno
5485;kobercem, koberec, koberci, koberce;a rug;der Teppich;Podstatné jméno
5486;termín, termínu, Termín, termínem, dodání;a term;der Termin;Podstatné jméno
5487;termínů, schůzek, termíny;a term;der Termin;Podstatné jméno
5488;schůzek, termínů;appointments;die Termine;Podstatné jméno
5489;termínový kalendář, termínovém kalendáři;a term calendar;der Terminplan;Podstatné jméno
5490;časový konflikt, kolize termínů, střet termínů;time conflict;zeitlicher Konflikt;Fráze
5491;harmonogram, plán termínů, časový plán, rozvrh, plán;a schedule;der Zeitplan;Podstatné jméno
5492;návrh termínu, návrh schůzky, návrh data, návrh setkání, nový termín, pozdější termín;a proposal;der Vorschlag;Podstatné jméno
5493;terasu, terasa, terase, terasy, terasou;a terrace;die Terrasse;Podstatné jméno
5494;terorista;a terrorist;der Terrorist;Podstatné jméno
5495;zkoušce, zkoušení, testu, test, testy, Test, testem, pokusů, zkoušeni, testování;a test;der Test;Podstatné jméno
5496;netestuje, zkusil, prověřit, testuješ, otestujte, otestujeme, prověřte, testujeme, testuje;to test [tested, tested];testen [geprüft, testete, testeten, testet, wird getestet];Sloveso
5497;drahé, drahá;expensive;teuer;Přídavné jméno
5498;text, Text;a text;der Text;Podstatné jméno
5499;popisku, texty, text, Text, textu, znění;a description;die Beschreibung;Podstatné jméno
5500;zvýrazňovač textu, zvýrazňovač, zvýrazňovače;a highlighter;der Textmarker;Podstatné jméno
5501;Thajsku, Thajsko, Thajska;Thailand;Thailand;Podstatné jméno
5502;thajské;Thai;thailändisch;Přídavné jméno
5503;divadle;a theater;das Theater;Podstatné jméno
5504;divadlu, divadle, divadel, divadlem;a theater;das Theater;Podstatné jméno
5505;tématem, tématu, téma, otázkou;a topic;das Thema;Podstatné jméno
5506;téma;a topic;das Thema;Podstatné jméno
5507;téma;a topic;das Thema;Podstatné jméno
5508;teoretický, teoreticky;theoretical;theoretisch;Přídavné jméno
5509;teorie, teorii;a theory;die Theorie;Podstatné jméno
5510;terapeut, Terapeut;a therapist;der Therapeut;Podstatné jméno
5511;terapii, terapie, rehabilitaci, Terapie, léčba, léčby, léčbě;therapy;die Therapie;Podstatné jméno
5512;teploměr, teploměrů, teploměrem, teploměru;a thermometer;der Thermometer;Podstatné jméno
5513;termo láhev, termoska, termosce, termosku, termosová láhev, termosky;a thermos;die Thermosflasche;Podstatné jméno
5514;vstupenka, lístek, jízdenku, vstupenek;a ticket;die Eintrittskarte;Podstatné jméno
5515;hluboce, zhluboka, hluboká, hlubokou, hluboko, hlubokého, nízko;deep;tief;Přídavné jméno
5516;Hloubka, hloubku, hloubka, hluboký;depth;die Tiefe;Podstatné jméno
5517;podzemní garáž, podzemní parkoviště, podzemní garážové stání, podzemní;a basement garage;die Tiefgarage;Podstatné jméno
5518;veterináři;veterinarians;die Tierärzte;Podstatné jméno
5519;veterinář, veterináři, veterináře;a veterinarian;der Tierarzt;Podstatné jméno
5520;veterinářce;a veterinarian;die Tierärztin;Podstatné jméno
5521;veterinářce, veterinářka, veterinářku;a veterinarian;die Tierärztin;Podstatné jméno
5522;zvířat, zvířatech, zvířata, zvěř;animals;die Tiere;Podstatné jméno
5523;zoologické zahrady, tiergartenu;a zoo;die Zoologischen Gärten;Podstatné jméno
5524;zoologické zahrady;a zoo;die Zoos;Podstatné jméno
5525;útulek, útulku;a shelter;das Tierheim;Podstatné jméno
5526;ošetřovatele, ošetřovatel;a caregiver;der Pfleger;Podstatné jméno
5527;ochrana zvířat, péče o zvířata, zvířecí ochrana;animal protection;Tierschutz;Fráze
5528;fauna, živočišný svět, zvířena, zvířenu;fauna;die Fauna;Podstatné jméno
5529;tygři, tygrech, tygr, Tygr, tygry, tygra, tygrovi;a tiger;der Tiger;Podstatné jméno
5530;Časovač, časovač;a timer;der Timer;Podstatné jméno
5531;inkoustu, inkoust;ink;die Tinte;Podstatné jméno
5532;nápovědě, tip, nápovědu;a tip;ein Tipp;Podstatné jméno
5533;psát na stroji;to write;schreiben;Sloveso
5534;překlepy, překlep, překlepů;a typo;ein Tippfehler;Podstatné jméno
5535;stolu, stole, stůl, stolem, stolečku;a table;der Tisch;Podstatné jméno
5536;stole, stolem, stůl;a table;der Tisch;Podstatné jméno
5537;malý stůl, stolík, stolečku, stolek, stoleček;a table;der Tisch;Podstatné jméno
5538;ubrus;a tablecloth;das Tischtuch;Podstatné jméno
5539;stoly, stolů;tables;die Tische;Podstatné jméno
5540;stolní tenis;table tennis;Tischtennis;Podstatné jméno
5541;popisku, titul, tituly, titulky, popisek, hodnosti;a description;die Beschreibung;Podstatné jméno
5542;toust, toast, toastu, toustu;toast;der Toast;Podstatné jméno
5543;toustovač;a toaster;der Toaster;Podstatné jméno
5544;toustovač;a toaster;der Toaster;Podstatné jméno
5545;dcery, dcer;daughters;die Töchter;Podstatné jméno
5546;dcery;daughters;die Töchter;Podstatné jméno
5547;tofu, Tofu;tofu;der Tofu;Podstatné jméno
5548;toaleta;a toilet;die Toilette;Podstatné jméno
5549;Tokia, Tokiu;Tokyo;Tokio;Podstatné jméno
5550;snášenlivost, tolerance, shovívavost, toleranci;tolerance;die Toleranz;Podstatné jméno
5551;mýtná, mýtný;tollbooth;mautpflichtig;Přídavné jméno
5552;rajčatová rostlina, rajčatové rostliny, rajčatovou rostlinu, rajčatové;a tomato plant;die Tomatenpflanze;Podstatné jméno
5553;tón, odstíny, odstínů, odstín, tónu;a tone;der Ton;Podstatné jméno
5554;Popelnici, popelnice, popelnici, Popelnice;an ash bin;die Aschetonne;Podstatné jméno
5555;hrnce, hrnec, hrnci, pot;a pot;der Topf;Podstatné jméno
5556;kurz keramiky, kurzu keramiky;a pottery course;der Keramikkurs;Podstatné jméno
5557;točit na hrnčířském kruhu;to spin on the potter's wheel;drehen am Töpfersrad;Sloveso
5558;Torontu;a Toronto;die Torontinos;Podstatné jméno
5559;dort;a cake;ein Kuchen;Podstatné jméno
5560;brankář, brankářem, Brankář, brankáře;a goalkeeper;der Torwart;Podstatné jméno
5561;úplně;completely;vollständig;Příslovce
5562;totální zničení, totální škoda na majetku, totální škoda, totální havárie, úplná škoda, odpis;total damage;der Totalschaden;Podstatné jméno
5563;projížďka, prohlídka, túrou, Prohlídka, prohlídky, túrách;a ride;die Fahrradtour;Podstatné jméno
5564;turistiku, turismu, ruchu;tourism;der Tourismus;Podstatné jméno
5565;turistů;tourists;die Touristen;Podstatné jméno
5566;turisticky;touristy;touristisch;Přídavné jméno
5567;kroj, kroji;to cut;schneiden [geschnitten (ist), schnitt];Sloveso
5568;sledovací číslo, číslo zásilky, číslo pro sledování;tracking number;die Sendungsnummer;Podstatné jméno
5569;tradici, tradicích;a tradition;die Tradition;Podstatné jméno
5570;tradičně;traditionally;traditionell;Příslovce
5571;kapesní, přenosná;portable;tragbar;Přídavné jméno
5572;nosíme, drž, nést, přenášíme, neseme, zvedáš, přenášejí, nesol, plodí, vynes, nos, nosit, ponese;to carry [carried, carried];tragen [getragen (ist), trug];Sloveso
5573;tragické, tragický, tragicky, tragická;tragic;tragisch;Přídavné jméno
5574;nenosí, nosí, natírá, nese, přenáší;to carry [carried, carried];tragen [getragen (ist), trug];Sloveso
5575;upoutávky, trailer, trailery, upoutávka;a trailer;der Trailer;Podstatné jméno
5576;trenéry, trenérovi, trenérů, trenérem, trenére, trenéra, trenér, trenéři;a trainer;der Trainer;Podstatné jméno
5577;trénovat, posiluješ, nacvičujeme, procvičujeme, trénujeme, trénují, posiluje, trénuju, nacvičuje, nacvičují, posilovat, cvičíme, trénuje, procvičuje, zacvičíme, trénuj, zaškolit;to train;trainieren;Sloveso
5578;tréninku, tréninkem, trénink, cviku, nácvik, posilování, posilováním, Trénink, procvičování;a training;der Training;Podstatné jméno
5579;tepláková souprava, sportovní souprava, tréninkový úbor;a tracksuit;der Trainingsanzug;Podstatné jméno
5580;tréninkový partner, tréninkovým partnerem, tréninkového partnera;a training partner;der Trainingspartner;Podstatné jméno
5581;tréninkový plán, tréninkového plánu, tréninkový, tréninkového;a training plan;der Trainingsplan;Podstatné jméno
5582;Traktor, traktoru, traktor, traktorem;a tractor;der Traktor;Podstatné jméno
5583;Slza, slzy;a tear;die Träne;Podstatné jméno
5584;pily, Pili, pili, napili;to drink [drank, drunk];trinken [getrunken (ist), trank];Sloveso
5585;trans;to translate;übersetzen [übersetzt (ist), übersetzte];Sloveso
5586;průhlednými, transparentněji;transparent;transparent;Přídavné jméno
5587;přeprava, dopravu, převoz, přepravě;a transportation;die Beförderung;Podstatné jméno
5588;vozí, přenes, přepravují, přepravujeme, sveze, přivezl, přepravit, přepravovat, převezena;to transport;befördern [befördert (ist)];Sloveso
5589;hroznového;grapes';trauben-;Přídavné jméno
5590;odváží, důvěřujete, odvážili, odvážit se, důvěřujeme;to weigh;wiegen [gewogen (ist), wog];Sloveso
5591;snem, Sen, sen, snu;a dream;der Traum;Podstatné jméno
5592;vysněné povolání;a dream job;ein erträumter Beruf;Fráze
5593;sní, snít, sníme, sníte, sníváš, zdálo;to dream [dreamed, dreamt];träumen [geträumt, träumte];Sloveso
5594;snílků, snílek;a dreamer;der Träumer;Podstatné jméno
5595;vysněný partner, ideální partner, životní partner, dokonalý partner, ideální životní partner, vysněný životní partner;a dream partner;der Traumpartner;Podstatné jméno
5596;setkáním, schůzkami, setkáních, schůzkou, schůzka, schůzí, setkáváte, setkávání, schůzkám, schůzky, setkání, schůzku, sraz, schůzek, schůzkách;a meeting;die Begegnung;Podstatné jméno
5597;hitem, zásahu;a hit, an attack;ein Angriff;Fráze
5598;místo setkání, místě setkání, Místo setkání, místem setkání;a meeting place;der Treffpunkt;Podstatné jméno
5599;vznášet, sportujeme, sportují, vznáší, sportuje, nahnala;to raise;aufheben  [aufgehoben (ist), hob auf];Sloveso
5600;skleníkový efekt, efekt skleníku, efektem, skleníkový jev, skleníkový;the greenhouse effect;der Treibhauseffekt;Podstatné jméno
5601;trend, trendům;a trend;der Trend;Podstatné jméno
5602;Oddělujeme, rozdělte, třídili, rozvést, rozcházíme, Oddělit, oddělit, odloučím, třídil, oddělovali, rozděleny, odděl, rozcházet, netřídil, rozděl, rozvede;to separate [separated, separated];trennen [getrennt (ist), trennte];Sloveso
5603;loučení, rozchodu, rozchodem;a parting;die Trennung;Podstatné jméno
5604;schodech, schodišti, schody, schodiště, schodištěm;stairs;die Treppe;Podstatné jméno
5605;schodiště, schodištěm;a staircase;die Treppe;Podstatné jméno
5606;věrná, nejvěrnějším, věrný, věrní, loajální, nejvěrnějšímu;faithful;treu;Přídavné jméno
5607;věrnost, věrnosti;fidelity;die Treue;Podstatné jméno
5608;triatlon, triatlonu;a triathlon;der Triathlon;Podstatné jméno
5609;nálevka, trychtýř, kráter;a trough;ein Trichter;Podstatné jméno
5610;trik, triků;a trick;der Trick;Podstatné jméno
5611;potkávám, potkává, potká;to meet [met, met];treffen [getroffen (ist), traf];Sloveso
5612;dres, trikoto;a tracksuit;das Trikot;Podstatné jméno
5613;pily, pití, pijte, nepila, nepil, napít, napili, vypiju;to drink [drank, drunk];trinken [getrunken (ist), trank];Sloveso
5614;láhve na pití, láhvi na pití, láhev na pití;a bottle;die Flasche;Podstatné jméno
5615;spropitné, spropitného;a tip;das Trinkgeld;Podstatné jméno
5616;pitnou vodou, pitné vody, pitnou vodu, pitná voda, pitné vodě;drinking water;das Trinkwasser;Podstatné jméno
5617;sušičku, sušičce, sušičky, sušička;a dryer;die Trocknerin;Podstatné jméno
5618;buben, bubnu;a drum;die Trommel;Podstatné jméno
5619;Trumpeta, trumpetu, trumpeta;a trumpet;die Trompete;Podstatné jméno
5620;kapka, kapky;a drop;ein Tropfen;Podstatné jméno
5621;povzbuzení, útěcha, potěšení, útěchou, útěchu;comfort;die Erleichterung;Podstatné jméno
5622;utěšují, utěšit, utěšovat, utěšila;to comfort [comforted, comforted];ertrösten [getröstet (ist), tröstete];Sloveso
5623;navzdory, přes, i přes;despite;trotz;Předložka
5624;přesto;nevertheless;obwohl;Spojka
5625;nést, nosit, mít na sobě;to carry;tragen [getragen, trug, wird getragen];Sloveso
5626;truhla, truhlu;a chest;die Truhe;Podstatné jméno
5627;čau;hi;hallo;Citoslovce
5628;ubrousky, ubrousek, hadrem, plátno, utěrkou, šátek, látkou;a cloth;das Tuch;Podstatné jméno
5629;jednej, udělejte, udělá, do, učiníme, učiň;to do [did, done];tun [getan (ist), tat];Sloveso
5630;tunelem, tunelu, tunel;a tunnel;der Tunnel;Podstatné jméno
5631;dveřích, dveře, dveřmi, dveří, dveřím;a door;die Tür;Podstatné jméno
5632;Turecka, Turecko, Turecku;Turkey;die Türkei;Podstatné jméno
5633;turecky, turečtině, Turečtina;Turkish;die Türkischsprache;Podstatné jméno
5634;věži, Věž, věž;a tower;die Türme;Podstatné jméno
5635;věž, věži, Věž, věže;a tower;die Türm;Podstatné jméno
5636;tělocvičně, posilovnu, tělocvičny, tělocvična, tělocvičnách;a gym;die Turnhalle;Podstatné jméno
5637;tenisky, tenisek, teniskami;sneakers;die Tennisschuhe;Podstatné jméno
5638;tašku, pytle, taška, sáčku;a bag;die Tasche;Podstatné jméno
5639;typické, typickou, typickým;typical;typisch;Přídavné jméno
5640;metro;a metro;die U-Bahn;Podstatné jméno
5641;o;it;es;Zájmeno
5642;všude;everywhere;überall;Příslovce
5643;přepracovává, přepracováváme, přepracovat, přepracována, přepracovávat, upravujeme;to rework [reworke, reworked];überarbeiten [überarbeitet, überarbeitete];Sloveso
5644;panorama, přehled, vhled, souhrn;a panorama;das Panorama;Podstatné jméno
5645;zatěžovat, přetížit, přetěžovat, přetížíš, přetěžuje, přetížit se, zahlceni;to overload;belasten [belastet, belastete, belastet];Sloveso
5646;přetížený, zahlcený, přemáhaný, přetěžovaný, nezvládnutý, zaskočený;overwhelmed;überlastet;Přídavné jméno
5647;přeplněná, přeplněný, zahlcený;overcrowded;überfüllt;Přídavné jméno
5648;předjíždět, předjíždějí, předjet, předešel;to overtake [overtook, overtaken];vorüberholen [überholt, überholte];Sloveso
5649;přetížit, přetěžovat, přetížíš, přetěžuje, zahlceni;to overload;überladen [überlastet, überlud];Sloveso
5650;přetížený, přetíženi, přetíženo, zahlcený;overloaded;überlastet;Přídavné jméno
5651;přemýšlejí, přemýšleli, medituje, přemýšlej, zvažujeme, zvažoval;to think [thought, thought];denken [gedacht];Sloveso
5652;rozvážně, přemýšleli, uvažuje, promyšlené, promyšleným, promyšleně, uvážené, promyšlená, promyšlený, uvědoměle;thoughtful;überlegt;Přídavné jméno
5653;pozítří;tomorrow;morgen;Přídavné jméno
5654;přespíme, Přenocujeme, přenocovali, přespím, přespávají, přenocovat, ubytujeme, přespával, přespat, vyspíš, přespal, nocím;to stay overnight;übernachten [übernachtete, übernachtet];Sloveso
5655;přespáním, přenocování, přespávačku, nocleh, přespávačka;an overnight stay;die Übernachtung;Podstatné jméno
5656;přespávačka, nocování;an overnight stay;die Übernachtung;Podstatné jméno
5657;přijmou, přijal, ponese, převzatou, převezmeme, přijímají, přijmu, převezmeš;to take [took, taken];nehmen [genommen (ist), nahm];Sloveso
5658;ověřovat, přezkoumal, ověřit, prověřovat, prověřuje, ověřujeme, znejišťuje, kontroluj, prošetřili, prověřit, ověřují, testuješ, otestujte, prohlížíte, zkontrolovali, nahlíží, ověřovali, měřil, zjišťuje, prověříme, otestujeme, ověř, prověřte, testujeme, prověřili, kontrolujete, posuzuje, kontrolujeme, zkontrolujte, ověřte, kontrolována, zkontrolované, kontrolovány, testuje;to verify;überprüfen;Sloveso
5659;přejde, Přejdeme, přecházíme, přejít, Přejít, přešli, překročit, přecházejí, přešla, přejdete, přechází;to cross;überqueren [überquert, überquerte];Sloveso
5660;žasli, překvapily, překvapujete, překvapí, překvapit, překvapili, ohromuje, překvapujeme, udivil, zastihla;to surprise [surprised, surprised];überraschen [überrascht];Sloveso
5661;nečekaných, nečekaná, překvapivá, nečekané, neočekávaná, překvapivé, neočekávané;unexpected;unerwartet;Přídavné jméno
5662;překvapivě;surprisingly;überraschend;Příslovce
5663;překvapeni, překvapená, překvapen, překvapeně, překvapuje, překvapený, překvapila, šokovaná;surprised;überrascht;Přídavné jméno
5664;překvapení;a surprise;das Überraschung;Podstatné jméno
5665;párty;a party;die Party;Podstatné jméno
5666;přemlouváte, přesvědčil, přesvědčili, přesvědčí;to persuade [persuaded, persuaded];überreden [überredet, überreed];Sloveso
5667;nadhodnocovat, přeceňovat, přeceňuješ;to overestimate;überbewerten [überbewertet, überbewertete, wird überbewertet];Sloveso
5668;omezený, přístupný, přehledně uspořádaný, přehledná, zvládnutelný, přehledný, přehledně;limited;eingeschränkt;Přídavné jméno
5669;záplavě, záplavou, povodně, záplava, povodeň, povodněmi;a flood;die Flut;Podstatné jméno
5670;přehlédla, ignorovala, ignoruje, přehlédl, nevšímáš, ignoruješ, přehlédnu;to overlook/ignore;übersehen [übersehen, übersah, wird übersehen];Sloveso
5671;obrátit, přeložit, překládat, překládá;to turn, to translate;wenden [gewendet, wandte, wird gewendet];Sloveso
5672;překladatele, překladatel;a translator;der Übersetzer;Podstatné jméno
5673;překladatele, překladatel;a translator;der Übersetzer;Podstatné jméno
5674;překlad;a translation;die Übersetzung;Podstatné jméno
5675;přehledně, přehlednost, strukturovaný, jasný, přehledný, srozumitelný, přehlednější, strukturovaná;clear;klar;Přídavné jméno
5676;přesčasovou, přesčasovou hodinu, přesčasová hodina, přesčas;overtime;die Überstunden;Podstatné jméno
5677;předražený, předražená;overpriced;überteuert;Přídavné jméno
5678;přenesl, převedu, převeď, vysílá, přepisujete, streamují, nakazilo, převádět, nakazit, předávat, nakazí, převedete, Přenést, přepisujeme, přenést, streamovat, nakazíš, převedeme, přenes;to transfer;übertragen;Sloveso
5679;dramatizujete, přehánějí, nepřeháněj, přeháníme, dramatizuješ, nepřehánějte, dramatizovat;to dramatize;dramatisieren  [gedramatisiert, dramatisiert];Sloveso
5680;přehánění, nadsázka, exagerace;an exaggeration;die Exaggeration;Podstatné jméno
5681;nerealisticky, přeháněný, přehánět, přehnaný, přílišný;exaggerated;übertrieben;Přídavné jméno
5682;sledovat, dozorovat, zajišťuje, pozorováni, monitorovat, hlídám, kontrolujeme, pohlídat, kontrolována, kontrolovány, kontrolujete;to monitor;überwachen [überwacht, überwacht];Sloveso
5683;hlídání, dohledu, pozorováni;supervision;die Aufsicht;Podstatné jméno
5684;bezpečnostní kamera, dozorovací kamera, sledovací kamera;a security camera;die Überwachungskamera;Podstatné jméno
5685;převedu, převeď, převeďte, převádět, převést, převedete, převádím, převedeme, odkazuji;to translate [translated, translated];übersetzen [übersetzt];Sloveso
5686;převodem, převod;a transfer;der Übertrag;Podstatné jméno
5687;převážně;mostly;überwiegend;Příslovce
5688;přenes, překonal, překonali, překonáme, překonáváme, překonávat;to overcome [overcame, overcome];überwinden [überwunden (ist), überwanden];Sloveso
5689;víra, víry;faith;das Glauben;Podstatné jméno
5690;obvyklé, běžné, normálním, běžném;usual;üblich;Přídavné jméno
5691;zbývajícího, nezbylo, nezbyl, nazbyt;to remain;blieb [geblieben (ist), blieb];Sloveso
5692;mimochodem;by the way;übrigens;Fráze
5693;cviků, cvičení, cvičením, cviku, seminář, nácvik, procvičování;a drill;die Übung;Podstatné jméno
5694;sešit, cvičebnice, pracovní sešit;a workbook;das Übungsheft;Podstatné jméno
5695;břehu, břeh, nábřeží;a bank;das Ufer;Podstatné jméno
5696;hodin, hodinu;an hour;die Stunde;Podstatné jméno
5697;Ukrajinština, ukrajinštině, ukrajinštinu;Ukrainian language;die Ukrainische Sprache;Podstatné jméno
5698;ultrazvuk, sonografie, ultrazvukové vyšetření;ultrasound;die Ultraschalluntersuchung;Podstatné jméno
5699;ultrarychlý, velmi rychlý, extrémně rychlý, rychlý, bleskový;ultra-fast;ultraschnell;Přídavné jméno
5700;klíčový, velmi zásadní, zásadní, velmi důležitý, extrémně důležitý, nesmírně důležitý, nesmírně významný, ultradůležitý;key;entscheidend;Přídavné jméno
5701;v, ve;in;in;Předložka
5702;za rohem;around the corner;um die Ecke;Fráze
5703;za rohem;around the corner;um die Ecke;Fráze
5704;svolení;permission;die Erlaubnis;Podstatné jméno
